Sender|Title|Department|To|CC|Subject|Ts|Rule|Args
gsantiago@bofa.com|Officer|Technology|dgomez@system.com,amandagood@system.com|jeffreyallen@system.com|Wonder race hand sometimes consumer question see.|2024-02-18 23:44:59.423160||
smithlisa@system.com|Officer|Operations|me@bofa.com,kelly81@bofa.com,rebeccajames@bofa.com|jesseharvey@bofa.com,ecarlson@bofa.com,carterstephen@bofa.com|We west area last Republican direction.|2024-02-18 23:44:59.424434||
kelly73@system.com|Director|Finance|slt@bofa.com,me@bofa.com,ofischer@bofa.com||Feeling feel upon song according.|2024-02-18 23:44:59.424806||
christopherramirez@system.com|Officer|Operations|javiersalazar@bofa.com,me@bofa.com,youngdouglas@bofa.com|vipdg@bofa.com,me@bofa.com,khall@bofa.com|Student image similar about theory.|2024-02-18 23:44:59.425451||
MD30@bofa.com|Managing Director|Trading|jason35@bofa.com,me@bofa.com|me@bofa.com,alanvilla@bofa.com|Size painting although matter list them possible check.|2024-02-18 23:44:59.425952||
MD11@bofa.com|Managing Director|Finance|fischerdustin@bofa.com|janiceblackburn@system.com,schurch@system.com|Similar interesting street whom.Spam Subject|2024-02-18 23:44:59.426515||
MD19@bofa.com|Managing Director|Finance|marquezleah@system.com,anthonygoodwin@system.com,brownjoseph@system.com||Least prepare despite marriage various.|2024-02-18 23:44:59.427147||
Spammer@bofa.com|Director|Finance|me@bofa.com,michaelweaver@bofa.com|aoneal@bofa.com|Traditional check half traditional if crime community.|2024-02-18 23:44:59.427638||
davidsutton@bofa.com|Vice President|Trading|slt@bofa.com,me@bofa.com|matthew08@bofa.com,vfitzpatrick@bofa.com|Left me our nor right already care.|2024-02-18 23:44:59.428323||
vanessa78@bofa.com|Officer|HR|slt@bofa.com,me@bofa.com|me@bofa.com,christinedavies@system.com,operez@system.com,melody49@system.com|Southern smile he scene officer happy.Spam Subject|2024-02-18 23:44:59.429076||
gthompson@bofa.com|Vice President|Technology|james48@bofa.com,clairehendricks@bofa.com,kathleen31@bofa.com|vipdg@bofa.com|Box social stand couple race big.|2024-02-18 23:44:59.429579||
